Date,Day_of_Week,Hour,Total_Demand_MLD,Residential_MLD,Industrial_MLD,Irrigation_MLD,Commercial_MLD,Peak_Demand_MLD,Peak_Time,Weather_Condition,Temperature_C,Humidity_Percent,Season,Is_Holiday,Day_Type,Forecast_Accuracy_Percent,Confidence_Score_Percent
2024-03-28,Wednesday,6,1.85,0.92,0.45,0.35,0.13,2.10,18:00,Clear,22.5,65,Spring,0,Weekday,96.2,91.5
2024-03-28,Wednesday,12,2.48,1.58,0.68,0.15,0.07,2.10,18:00,Sunny,29.5,42,Spring,0,Weekday,98.5,93.4
2024-03-28,Wednesday,18,3.20,2.05,0.88,0.18,0.09,3.20,18:00,Partly Cloudy,28.5,45,Spring,0,Weekday,97.3,95.8
2024-03-29,Thursday,6,1.88,0.95,0.46,0.32,0.15,2.08,18:00,Partly Cloudy,21.8,68,Spring,0,Weekday,96.4,91.7
2024-03-29,Thursday,12,2.50,1.60,0.70,0.12,0.08,2.08,18:00,Sunny,30.2,40,Spring,0,Weekday,98.4,93.5
2024-03-29,Thursday,18,3.18,2.03,0.86,0.20,0.09,3.18,18:00,Clear,27.5,48,Spring,0,Weekday,97.5,95.6
2024-03-30,Friday,6,1.82,0.92,0.42,0.38,0.10,2.05,18:00,Clear,22.1,70,Spring,0,Weekday,96.8,92.1
2024-03-30,Friday,12,2.45,1.55,0.68,0.15,0.07,2.05,18:00,Sunny,28.9,45,Spring,0,Weekday,98.6,93.8
2024-03-30,Friday,18,3.15,2.01,0.84,0.22,0.08,3.15,18:00,Clear,26.8,50,Spring,0,Weekday,97.6,95.5
2024-03-31,Saturday,6,1.65,0.85,0.28,0.42,0.10,1.92,17:30,Clear,23.2,66,Spring,0,Weekend,96.9,91.9
2024-04-01,Sunday,6,1.60,0.82,0.25,0.40,0.13,1.88,17:30,Clear,22.8,67,Spring,0,Weekend,97.1,92.0
2024-05-15,Wednesday,6,2.05,1.02,0.55,0.35,0.13,2.35,18:00,Rainy,20.2,85,Spring,0,Weekday,95.8,90.9
2024-06-01,Saturday,6,1.72,0.90,0.32,0.42,0.08,2.02,17:30,Sunny,24.5,62,Summer,0,Weekend,97.2,92.1
2024-07-01,Tuesday,6,2.15,1.08,0.60,0.38,0.09,2.52,18:00,Rainy,22.1,88,Summer,0,Weekday,94.5,88.5
2024-07-15,Tuesday,6,2.18,1.10,0.62,0.35,0.11,2.55,18:00,Rainy,21.8,90,Monsoon,0,Weekday,93.8,87.2
2024-08-01,Thursday,6,2.12,1.06,0.58,0.36,0.12,2.48,18:00,Rainy,21.5,89,Monsoon,0,Weekday,94.2,88.1
2024-09-01,Sunday,6,1.78,0.92,0.35,0.40,0.11,2.08,17:30,Rainy,22.5,82,Monsoon,0,Weekend,95.8,90.2
2024-10-01,Tuesday,6,1.95,0.98,0.48,0.38,0.11,2.28,18:00,Clear,24.2,68,Fall,0,Weekday,97.2,92.4
2024-11-01,Friday,6,1.88,0.94,0.42,0.42,0.10,2.20,18:00,Clear,22.1,75,Fall,0,Weekday,97.5,92.6
2024-12-01,Sunday,6,1.75,0.88,0.32,0.42,0.13,2.05,17:30,Clear,20.5,78,Winter,0,Weekend,97.8,92.8
2024-12-25,Wednesday,6,1.95,0.98,0.52,0.30,0.15,2.28,18:00,Clear,20.2,77,Winter,1,Holiday,96.8,91.2
2025-01-01,Wednesday,6,1.98,1.00,0.54,0.28,0.16,2.32,18:00,Clear,19.5,79,Winter,1,Holiday,96.5,90.8
2025-02-14,Friday,6,1.88,0.94,0.42,0.40,0.12,2.20,18:00,Clear,23.2,68,Winter,1,Holiday,96.9,91.5
2025-03-01,Saturday,6,1.72,0.88,0.30,0.42,0.12,2.02,17:30,Clear,24.8,62,Spring,0,Weekend,97.6,92.7
2025-04-01,Tuesday,6,1.98,1.00,0.52,0.34,0.12,2.32,18:00,Clear,26.2,58,Spring,0,Weekday,97.2,92.3
2025-05-01,Thursday,6,2.08,1.05,0.58,0.32,0.13,2.42,18:00,Clear,28.5,52,Spring,0,Weekday,97.0,92.1
2025-06-01,Sunday,6,1.82,0.95,0.38,0.38,0.11,2.12,17:30,Sunny,29.8,48,Summer,0,Weekend,97.2,92.2
2025-07-01,Tuesday,6,2.20,1.12,0.65,0.30,0.13,2.58,18:00,Rainy,26.2,82,Summer,0,Weekday,94.2,88.5
2025-08-01,Thursday,6,2.22,1.13,0.66,0.30,0.13,2.60,18:00,Rainy,25.5,84,Monsoon,0,Weekday,94.0,87.8
2025-09-01,Sunday,6,1.92,1.00,0.42,0.38,0.12,2.22,17:30,Rainy,26.8,78,Monsoon,0,Weekend,95.5,89.5
2025-10-01,Wednesday,6,2.02,1.02,0.50,0.36,0.14,2.36,18:00,Clear,27.2,70,Fall,0,Weekday,97.0,92.1
2025-11-01,Friday,6,1.95,0.98,0.44,0.40,0.13,2.28,18:00,Clear,25.5,75,Fall,0,Weekday,97.2,92.3
2025-12-01,Sunday,6,1.82,0.92,0.35,0.42,0.13,2.12,17:30,Clear,23.2,80,Winter,0,Weekend,97.4,92.5
2025-12-25,Wednesday,6,2.00,1.02,0.54,0.30,0.14,2.34,18:00,Clear,22.8,79,Winter,1,Holiday,96.8,91.5
2026-01-01,Wednesday,6,2.02,1.03,0.56,0.28,0.15,2.36,18:00,Clear,21.8,81,Winter,1,Holiday,96.6,91.2
2026-02-14,Friday,6,1.92,0.96,0.44,0.40,0.12,2.26,18:00,Clear,24.5,72,Winter,1,Holiday,97.1,91.8
2026-03-01,Saturday,6,1.78,0.90,0.32,0.41,0.15,2.08,17:30,Clear,26.1,68,Spring,0,Weekend,97.7,92.8
2026-03-28,Saturday,6,1.85,0.93,0.36,0.40,0.16,2.15,17:30,Clear,27.2,64,Spring,0,Weekend,97.9,93.0
